model_name,model_path,total_parameters,total_samples,training_samples,validation_samples,test_samples,train_runtime,val_runtime,test_runtime,total_runtime,result_folder
conv_pw_6_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_6_relu_edgetpu.tflite,0,3670,2936,367,367,11.869875135000257,1.4849864819998402,1.5096355890000268,14.86470354300036,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_8_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_8_relu_edgetpu.tflite,0,3670,2936,367,367,13.506578863999493,1.7031775720006408,1.7191567359996043,16.929147452000507,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_11_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_11_relu.tflite,7106240,3670,2936,367,367,125.0580210069993,15.642544046999319,15.610447989999557,156.3112550650003,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_2_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_2_relu_edgetpu.tflite,0,3670,2936,367,367,12.666896778000591,1.591844483999921,1.6003217309998945,15.859222421000595,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_8_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_8_relu.tflite,5703872,3670,2936,367,367,96.43612418700013,12.079405987999962,12.052362059999723,120.56812832800006,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_9_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_9_relu.tflite,6171328,3670,2936,367,367,106.0384506499995,13.241990337999596,13.252109933000611,132.53275976799978,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_4_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_4_relu_edgetpu.tflite,0,3670,2936,367,367,11.40618392899978,1.4062575330008258,1.4340307550000944,14.246637861999261,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_7_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_7_relu_edgetpu.tflite,0,3670,2936,367,367,12.668444070000078,1.6156315449998147,1.5602144670001508,15.844481893999728,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_4_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_4_relu.tflite,4015296,3670,2936,367,367,67.96469978599998,8.509556801999679,8.512172114999885,84.9867073280002,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_5_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_5_relu_edgetpu.tflite,0,3670,2936,367,367,12.092376927999794,1.4890782109996508,1.526301900999897,15.107961890000297,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_2_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_2_relu.tflite,2859712,3670,2936,367,367,62.06289369099977,7.772873412000081,7.759338084999399,77.59536679699977,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_11_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_11_relu_edgetpu.tflite,0,3670,2936,367,367,16.149011624000195,2.08326146500076,1.9586065140001665,20.19110134099992,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_13_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_13_relu.tflite,8869568,3670,2936,367,367,138.3614955060002,17.30426683600035,17.304575218000537,172.97056991199952,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_10_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_10_relu_edgetpu.tflite,0,3670,2936,367,367,15.031433180000022,1.9137973090000742,1.8046020389992918,18.75018858200019,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_12_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_12_relu_edgetpu.tflite,0,3670,2936,367,367,16.632129567999982,2.1543240090004474,2.13106782199975,20.917741564000607,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_5_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_5_relu.tflite,4484544,3670,2936,367,367,78.6474730760001,9.822320850000324,9.819769790000464,98.28979156800051,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_9_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_9_relu_edgetpu.tflite,0,3670,2936,367,367,14.25866566700006,1.7344209279999632,1.7606175849996362,17.753869068999848,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_6_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_6_relu.tflite,4768960,3670,2936,367,367,77.10195005500009,9.639071249999688,9.620024208000359,96.36127291999946,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_3_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_3_relu_edgetpu.tflite,0,3670,2936,367,367,13.844580736000353,1.692242651000015,1.728420935000031,17.265414803999192,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_3_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_3_relu.tflite,3680064,3670,2936,367,367,75.06777311699989,9.396554279999691,9.388089789999867,93.85268476000056,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_13_relu_edgetpu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_13_relu_edgetpu.tflite,0,3670,2936,367,367,17.43670267700054,2.2559259580002617,2.1547732620001625,21.84763126799953,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_10_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_10_relu.tflite,6638784,3670,2936,367,367,115.62541492499986,14.443845824999698,14.44667070200012,144.5161528769995,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_7_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_7_relu.tflite,5236416,3670,2936,367,367,86.68973210400054,10.866307307998795,10.828016788000241,108.38429853399975,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
conv_pw_12_relu.tflite,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/trimmed_extractors/conv_pw_12_relu.tflite,7711424,3670,2936,367,367,127.85263975700036,16.011307394999676,15.97003869100081,159.8342281770001,/home/ayeminkhant/research_project/edgetpu/retrain-backprop/result_of_all_models
